topic,target_examples,actual_examples,planned_subtopics,source,status
bleeding,65,65,13,raw_sources/firstaid_source_notes.md#bleeding,covered
wounds,65,65,13,raw_sources/firstaid_source_notes.md#wounds,covered
burns,65,65,13,raw_sources/firstaid_source_notes.md#burns,covered
electrical_burns,65,65,13,raw_sources/firstaid_source_notes.md#electrical_burns,covered
choking_adult,65,65,13,raw_sources/firstaid_source_notes.md#choking_adult,covered
choking_child,65,65,13,raw_sources/firstaid_source_notes.md#choking_child,covered
choking_infant,65,65,13,raw_sources/firstaid_source_notes.md#choking_infant,covered
cpr,65,65,13,raw_sources/firstaid_source_notes.md#cpr,covered
unconscious_person,65,65,13,raw_sources/firstaid_source_notes.md#unconscious_person,covered
breathing_difficulty,65,65,13,raw_sources/firstaid_source_notes.md#breathing_difficulty,covered
seizure,65,65,13,raw_sources/firstaid_source_notes.md#seizure,covered
poisoning,65,65,13,raw_sources/firstaid_source_notes.md#poisoning,covered
drug_exposure,65,65,13,raw_sources/firstaid_source_notes.md#drug_exposure,covered
allergic_reaction,65,65,13,raw_sources/firstaid_source_notes.md#allergic_reaction,covered
anaphylaxis,65,65,13,raw_sources/firstaid_source_notes.md#anaphylaxis,covered
heart_attack,65,65,13,raw_sources/firstaid_source_notes.md#heart_attack,covered
stroke_symptoms,65,65,13,raw_sources/firstaid_source_notes.md#stroke_symptoms,covered
heat_exhaustion,65,65,13,raw_sources/firstaid_source_notes.md#heat_exhaustion,covered
heat_stroke,65,65,13,raw_sources/firstaid_source_notes.md#heat_stroke,covered
hypothermia,65,65,13,raw_sources/firstaid_source_notes.md#hypothermia,covered
frostbite,65,65,13,raw_sources/firstaid_source_notes.md#frostbite,covered
nosebleed,65,65,13,raw_sources/firstaid_source_notes.md#nosebleed,covered
eye_injury,65,65,13,raw_sources/firstaid_source_notes.md#eye_injury,covered
foreign_object,65,65,13,raw_sources/firstaid_source_notes.md#foreign_object,covered
animal_bite,65,65,13,raw_sources/firstaid_source_notes.md#animal_bite,covered
insect_sting,65,65,13,raw_sources/firstaid_source_notes.md#insect_sting,covered
fracture,65,65,13,raw_sources/firstaid_source_notes.md#fracture,covered
sprain,65,65,13,raw_sources/firstaid_source_notes.md#sprain,covered
shock,65,65,13,raw_sources/firstaid_source_notes.md#shock,covered
fainting,65,65,13,raw_sources/firstaid_source_notes.md#fainting,covered
unsafe_or_out_of_scope,65,65,13,raw_sources/firstaid_source_notes.md#unsafe_or_out_of_scope,covered
